text,hatebert_pred,roberta_pred,token_len,char_len,hb_lex_occurr,hb_lex_ngrams_prop,label
#shameonicc from my childhood I didn't watched a rainy world cup session like this. Waited 4 years to watch this rainy #CWC19 cup will be shared by all the participant countries.,0,0,36,178,0,0.0,0
IMA jewels grand opening at Jayanagar interview with CEO of IMA Group Mansoor Ali khan with Media Supporter #IMA  #IMAJewelsFraud #IMAJewels  #IMAScam #IMAFraud  #MansoorKhan #Bangalore ,0,0,32,186,0,0.0,0
"Country will remember you as a soldier first,than cricketer! @msdhoni   Are you serious ?  My vote - Yes   Buy Now:     #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #BalidaanBadge #BalidanBadge #Balidan ",0,0,37,215,0,0.0,0
"BBC news ask “Where’s Boris” - Cleverly “he’s been busy gaining the support of members of parliament, the people that have a vote”    i.e Public opinion is irrelevant. Why would he bother trying to convince us he’s right for leadership?  #C4debates #BorisJohnsonShouldNotBePM",0,0,57,275,0,0.0,0
"According to the weatherman, there is a high chance of rain during India Vs Pakistan on June 16, in the ongoing Cricket World Cup. 😐👎👎 What have u done ICC #ShameOnICC #INDvPAK  #RainStopsMatch #ENGvWI #FathersDay19 #MaukaMauka #SevenZero ",0,0,47,239,0,0.0,0
@ICC @Bazmccullum @PathakRidhima The darkest worldcup ...... No fresh competition #ShameOnICC,0,0,15,93,0,0.0,0
The poor infrastructure in hospitals in WB are responsible for death of many critical patients. This is state's failure. But all attacks are on Junior Drs. Is that fair. This point didn't register in #DoctorsFightBack @ARanganathan72,0,0,44,233,0,0.0,0
#alabama ~ why isn't this #rapist in prison ,0,0,11,44,0,0.0,0
Dharna at the Collectorate at Palakkad. IMA protests attack on Doctors. #DoctorsFightBack ,0,0,15,90,0,0.0,0
Even the Kool Aid man don’t like walls #FuckTrump ,0,1,12,50,0,0.0,0
"I'd say 'WOW', but I got up and 6am and have used up my allotment of 'WOW's' already today... and it's only 8am. Back to bed I guess and hopefully I can stretch them out more tomorrow @realDonaldTrump #Creepy  #douchebag #hugthismotherfucker ",0,0,53,242,0,0.0,0
"There is a mile long list of reasons why Boris Johnson is not fit for pubic office. If anyone else had done one or two of these things, they’d be out on their ear, but he seems teflon coated. You have to wonder what he has on people.... #BorisJohnsonShouldNotBePM",1,1,57,263,0,0.0,0
"@funder Am I the only one who feels like it’s no longer a question of if #TrumpIsATraitor, but rather if Republicans are still Americans?",0,0,30,137,0,0.0,1
@TomLondon6 the phwaarr factor i.e making a noise with your mouth but not saying anything    #BorisJohnsonShouldNotBePM,0,0,18,119,0,0.0,0
"#murderer the hatred, #Cop Says Man Has A Gun Until He Realizes He's Being Filmed  via @YouTube",0,0,22,95,0,0.0,0
Proven that @MamataOfficial is in support of terror mob and in favor of changing demography of Bengal. CM is zaddi and same working like Hitler. #DoctorsFightBack #BengalDoctorsStrike #hitlerdidi  #MamataLosingControl #MamataBanarjee #mamtafrustrated ,0,0,40,251,0,0.0,1
@MathiasCormann But #LNP have a 'mandate'? #dickhead,0,0,12,52,0,0.0,1
@Comey I am crushed that no one is calling attention to the lie that @hogangidley45 told about #JamesComey being a convict!!!  See the short clip to confirm that #Trump Administration is lying.  #TrumpIsATraitor #TrumpResign #TrumpTantrum #WhiteHouse ,0,0,48,251,0,0.0,1
@TheRealOJ32 You belong in jail and then in hell #murderer #JusticeForNicoleAndRon,1,0,14,82,0,0.0,1
#Kashmir  Countries sponsoring #Terrorism must be held accountable:   PM Modi at #SCOSummit2019  In #Bishkek #Kyrgyzstan    #TerrorismFreeKashmir   #ModiSCOToughTalk  #ModiExposesPak  #Pakistan  #dawn  #freebalochistan  #Pashtun  #terroristnationpakistan  @STcom #cpec  ,0,0,41,270,0,0.0,0
"@GOP @realDonaldTrump #BreakingNews #HappeningNow #acrossthecountry:    While some are using Trump's 73rd birthday to celebrate John McCain, #mostAmericans are hoping the #WorstPresidentEver celebrates next year with a #cupcake on his #federalprison #cafeteriatray.  🧁  #FuckTrump     ",0,0,48,285,0,0.0,0
@ashutosh83B @SwetaSinghAT Ab ye btayega who is better Dhoni or Gavaskar? FYI Sunil Gavaskar once said Dhoni is the best limited over player India produced after Kapil dev. Jai Hind 🇮🇳✌️👍 #DhoniKeepsTheGlove #Dhoni #AUSvIND,0,0,41,223,0,0.0,0
@DrDenaGrayson I can’t wait for the debates. So much to chose from. #TrumpIsADisgrace #TrumpIsACriminal #TrumpIsATraitor #ImpeachDonaldTrump,0,0,25,140,0,0.0,0
@INCIndia We know who’s power hungry. We haven’t forgotten what this vile woman did to #PVNarasimhaRao and his legacy. #congressmuktbharat,1,0,29,138,0,0.0,0
"Russia has no intentions of withdrawing from Venezuela, but Trump said they told him they will and 'he's always right.'    Russia is establishing a presence in this hemisphere. It must be #fakenews that JFK stopped a war over that in Cuba. #FuckTrump  ",0,0,50,252,0,0.0,0
@Nathan_Scoble7 @TDeathAdder @SCElites What was I thinking with Greene? First and last time for him. Balta came in under $200k (I think the week before).  Bought Josh Kelly in this week too!! 🤪 #dickhead,0,0,46,203,0,0.0,0
Ex-Student Fights College Over Fate of Alleged #Rapist - Jun 16 @ 2:48 AM ET ,0,0,16,77,0,0.0,0
@ericswalwell Enough of what #douchebag?,0,0,8,40,0,0.0,0
I Helped Obama Win in 2012. Now Trump Is Using the Same Playbook. #Resist #ResistTrump #FuckTrump ,0,0,21,98,0,0.0,0
.@RealDonaldtRUMP has to establish a record of telling the truth. MSM should never believe anything he says until then. It's a safe bet that will never happen. #FuckTrump #maga #FOXNews #WednesdayWisdom ,0,0,41,203,0,0.0,0
Family Services Counselor Fired After Speaking Out Against Surveillance of Unaccompanied Migrant Children #Resist #ResistTrump #FuckTrump ,0,0,19,138,0,0.0,0
"@MamataOfficial's nephew, #TMC MP  @idevadhikari too..     #DoctorsProtest #DoctorsFightBack #doctorsstrike #Savethedoctors #SaveBengal",0,0,22,135,0,0.0,0
@FBI see comments made on national television by @POTUS #TrumpIsATraitor #lockhimup ,0,0,15,84,0,0.0,0
It was decided 2 have fix working hours but still we r forced 2 work inhumanly. #omkarmurdercase #justice4omkar   #DoctorsFightBack #DoctorsStrike #doctors_against_assualt   #UnitedRDA   @Drmanugautam @drharshvardhan @PMOIndia   @drmanishjain680 @DrHarjitBhatti @drankitom @NeetFiles ,0,0,43,284,0,0.0,0
Seriously what the fuck is up this his hair line that shit is disgusting I hate this motherfucker #fucktrump #ImpeachTrump #trumparacist #hishairlinesucks ,1,1,26,155,0,0.0,1
"@AdityaRajKaul This is a nexus of unholy cricket business run between the Netas from all party -lines , so until the BJP neta's do not will it , its not going to change a darn bit ! Sadly 😭 #DhoniKeepsTheGlove #DhoniKeSaathDesh   #DhoniKeepTheGlove #dhonigloves 🧤🥊🧤 #dhonigloves",1,0,52,278,0,0.0,0
@Acosta Did your book preface start with Dear Diary? 🤡  #Narcissist  #douchebag,0,0,16,79,0,0.0,0
Alabama court forces rape survivor to allow #rapist to have visitation with children ,0,0,14,85,0,0.0,0
Emergency OT at Murshidabad Medical College. EMERGENCY SERVICES are still going on deespite en masse resignation. DONT BELIEVE ON RUMOURS spread by Didi's goons and her paid Media.     #DoctorsFightBack #DoctorsStrike ,1,0,36,218,0,0.0,0
"Wearing bandages on foreheads, over 1,400 resident #Doctors at the Postgraduate Institute of Medical Education and Research (PGIMER) #Chandigarh suspended work for 4 hours on Friday  #DoctorsFightBack #DoctorsProtest #doctors_against_assualt @htTweets ",0,0,39,252,0,0.0,0
Is this the cricket world cup or swimming world cup?    #ShameOnICC #CWC19 ,0,0,15,75,0,0.0,0
"I've lived to see justice, in all its forms and formulations, served.  The TRUTH wins out in the end.  Look who's suffering and in a self-made hell now!  Nothing it touches will be the same.  Nothing!!  #dirtyniggr #nakeddeparture #murderer #monster #terrorist #markbathompson",0,0,58,276,0,0.0,0
#Trump #IndictTrump #LockHimUp #FuckTrump #Progressive #Dems #ReSisters #Resistance #Resist #TraitorTrump #TrumpTreason #TrumpTraitor #PutinsPuppet #JailTrump #TrumpRussia #NotMyPresident #NoTrump  Love the #crazy!  Keep up the good work.  #Trump2020!  Hey Baby!   @ActionTime!,0,0,54,277,0,0.0,0
Fact Two  @RoryStewartUK award winning author of four books. The Places In Between was a New York Times best-seller and #rorystewart is an award winning documentary film maker  #Boris Johnson writes moderately received book on Churchill    #roryforleader #BorisJohnsonShouldNotBePM,0,0,44,281,0,0.0,0
@GOP Happy #JohnMcCainDayJune14   #FuckTrump,0,0,7,44,0,0.0,0
@Emmabarnett Yes I care as this speaks to his character.  Just like so many things about him #BorisJohnsonShouldNotBePM,0,0,21,119,0,0.0,0
"@MehranMarri @TarekFatah @narendramodi You don't worry Sir, India is playing Cricket with  @BCBtigers and with in next five years we will play with #Balochistan . @narendramodi ji hey na #ModiheythoMumkinhey bas barosa karke shanth rahiye abi tho @AmitShahOffice ji bhi hey, 4 tukde honge #terroristNationPakistan",0,0,57,313,0,0.0,0
@POTUS Happy #JohhMcCainDay! #TrumpIsATraitor,1,0,8,45,0,0.0,0
This number goes up EVERYDAY and the Dems still refuse to do anything about it. #trump #TrumpIsATraitor #GOP #MAGA @realDonaldTrump @HouseDemocrats ,0,0,28,148,0,0.0,0
Erin Burnett calls out Fox News for baseless Biden claim #Resist #ResistTrump #FuckTrump ,0,0,16,89,0,0.0,0
Opinion: Kavanaugh wants us to know he's won #Resist #ResistTrump #FuckTrump ,0,0,16,77,0,0.0,0
"If we all cough would you leave the office, said George Stephanopoulos.  #Trump30Hours #ImpeachTrumpNow #TrumpIsATraitor",0,0,20,120,0,0.0,0
Future Doctors for our politicians  #DoctorsFightBack ,0,0,7,54,0,0.0,0
@BluGrlRedTwn @maggie51852 @chiniakak @ECMcLaughlin The GOP has been obstructing and stalling any attempt at Immigration Reform for decades. Their idea of real reform is a policy of Whites Only All POC Not Welcome Here. Building the Wall is a waste of time and money. #TrumpIsATraitor  #TrumpsWorseThanNixon,1,0,55,307,0,0.556,0
#DhoniKeepsTheGlove because Dhoni is a Lt Colonel @ICCMediaComms,1,0,10,64,0,0.0,0
"'As a TMC supporter, I am deeply ashamed...': Kolkata Mayor's daughter Shabba Hakim slams Mamata Banerjee alleging inaction and silence over protection of doctors. Read here  #DoctorsFightBack  ",0,0,34,194,0,0.0,0
"#DoctorsFightBack  If you need treatment we need safety, that's only what we are demanding, &amp; those who are saying doctors charge so much, ist thing all doctors are not owners of hospital, 2nd if u feel over charged u can go to courts, 3rd we hv studied for 10+ years just to cure. ",0,0,63,286,0,0.0,0
@JewdyGold @The_RealOJ32 aren’t you still in jail? #murderer,0,0,14,60,0,0.0,0
Remember a couple months ago when #Trump 'jokingly' fired @PressSec #SarahHuckabeeSanders for being 'too popular?'    Funny thing about being popular - it doesn't have to equate with being liked.    #TrumpIsATraitor  #TrumpLiesMatter   #ImpeachTrumpNow,0,0,43,252,0,0.0,0
"#DoctorsFightBack Prime years of a doc are drowned in books &amp; wards to be able to help others. Security &amp; dignity for them is a basic duty of the state. Worked in JJ hosp for years...even worst of criminals had convention of no violence in hospital, let alone attacking doctors.",0,0,61,286,0,0.0,0
#DoctorsFightBack vs #LeecheeFightBack how many competent Doctors Intelligent General Class (NonResereved) in Bihar to save babies!,0,0,21,131,0,0.0,0
"@ARYNEWSOFFICIAL #PaisaWapisKarChor #ThugsOfPakistan #Feudal  #Murderer #MrTenPercent 😂🤣😝 Ok ans who does sirr e palace belong to? Who helped u murder ur wife? Where did u hide bibi’s will?! 😋🤔 She knew u well, that’s y she kept u in jail too 😂😂🤣🤣 @BBhuttoZardari @BakhtawarBZ @AseefaBZ ",1,0,63,287,0,0.0,0
@realDonaldTrump @senatemajldr @MarkWarner Happy John McCain Day! #truehero #JohnMcCainDay #TrumpIsATraitor,0,0,17,107,0,0.0,0
@realDonaldTrump She a LIAR JUST LIKE U. U GOING DOWN SHE LEAVING U BE 4 IT HAPPENS #DICKHEAD,1,0,20,93,0,0.0,1
#DhoniKeepsTheGlove Where is sports spirit  ??? Game is not great than love for country....,0,0,18,91,0,0.0,0
Keep tweeting this guys @ICC puppet of pakistan  #ShameOnICC,0,0,11,60,0,0.0,0
"@GOP @realDonaldTrump Great, I've gotten several tickets to your show. I then wipped my ass with them and burnt them.  #fucktrump",0,1,28,129,0,0.0,1
That was the best #JohnMCainDay day.  Ever.      #FuckTrump   #FuckTheGOP   #FuckTrumpSupporters,0,0,16,96,0,0.0,0
#Dhoni The Mr. cool of Indian #cricket was forced to remove his gloves But  he didn't say anything.  He is such an ambassador for cricket. And the entire nation is behind him in all of his decisions       #dhonikesaathdesh #DhoniKeepsTheGlove  #ICCWorldCup2019 ,0,0,48,261,0,0.0,0
@Bizarro_Prisuta @realDonaldTrump #Douchebag @DonnyDeutsch of the rebooted 1930's #National #democrat #Socialist #Workers #Party &amp; #fakenews @MSNBC w/ #comrads @Morning_Joe &amp; his 'floating device' @morningmika . ~ @realDonaldTrump #Presidential,0,0,50,252,0,0.0,0
Twitter is ‘researching’ whether or not they should allow white nationalists to send racist tweets #Resist #ResistTrump #FuckTrump ,0,0,23,131,0,0.0,0
Too puffed up to debate #BorisJohnsonShouldNotBePM ,0,0,7,51,0,0.0,0
Oh and if you don’t know now you know... #fucktrump &amp; #thisadministration,0,0,19,77,0,0.0,0
@TheRealOJ32 Nothing says God's blessing like 'getting even'.   #murderer,0,0,14,73,0,0.0,0
How does a piece of shit like @TheRealOJ32 have followers? #OJSimpson #MURDERER,1,1,16,79,0,0.0,1
#Alabama did nothing about the #Rapist.    The #Court is ordering the #Victim  to allow #VisitationRights or she goes to #Jail.    #Rapists who created the children gets nothing.    #Vicitim parent—forced to bare them—goes to jail.    #Alabama enforces #ShariaLaw.    ,0,0,52,268,0,0.0,0
"Doctors of JIPMER, Pondicherry stand with NRSMCH. We are on a strike today so that such violence against doctors does not happen in the future.   #Savethedoctors #doctorsstrike #doctors_against_assualt #DoctorsFightBack ",0,0,36,220,0,0.0,0
"Dear ICC,   Focus on match venue not on Dhoni's gloves!    @ICC @BCCI @englandcricket  #INDvNZ #ENGvWI #ShameOnICC  #RainStopsMatch    'England's rainy weather is putting a damper on cricket fans' moods ☔️'  ",0,0,42,208,0,0.0,0
@chandnijafri Any kids #Rapist should be given capital punishment .,1,0,12,67,0,0.0,0
"@NatalieJHarp @JoeBiden @realDonaldTrump #FridayFeeling   Blaming Joe Biden?  Proves you’re truly #Deplorable.  Best of luck.  #FuckTrump, #FucktheGOP and #FuckTrumpSupporters.  Democrats have a #healthcare plan.  Republicans have a #dontcare plan. ",0,0,47,249,0,0.0,1
Nothing wrong in wearing the proud badge.. ICC have to consider... #DhoniKeepsTheGlove,0,0,15,86,0,0.0,0
"MSD on glove row: Will stick to ICC’s rules       Thank you @msdhoni for following the rules and keeping Cricket, exactly what it is, A Sport!    Desh Bhakti dikhaneke aur bhi tareeke hai     #CWC19 #DhoniKeepsTheGlove",0,0,43,218,0,0.0,0
#FuckTrump  ANOTHER ONERY DEM..... ,0,0,6,35,0,0.0,1
@flotus would be better off with this:  @orgasmicize #pornhub #firstladydoesdallas #freeblowjobs #fucktrump #classy #resist #TrumpTantrum #JackieO #lookmomnohands #skillsandthrills #voteblue #deepthroatchampion #Disneyland ,0,0,37,223,0,0.0,1
@realDonaldTrump happy birthday you racist dumbass!!! I’m having tacos for lunch in your honor. And here’s a picture of your favorite senator. #TrumpIsATraitor #trumpsucks ,1,1,36,172,0,0.0,1
Who will #win in #Cardiff ?    #CWC19 #ENGvBAN #England #Bangladesh #englandfans #CricketWorldCup2019 #DhoniKeepsTheGlove #DhoniKeSaathDesh #IndiaWithDhoni #WWESSD #KnackDhanushBirthdayin50days #NationalFishAndChipDay #FrenchOpen #LoveIsland #DDay75 #RiseOfTheTigers #BCB,0,0,42,271,0,0.0,0
#DICKHEAD SHOULD JUST FUCK KIM JONG UN ALREADY &amp; GET IT OFF HIS CHEST ! ,0,1,18,76,0,0.0,1
Some much needed clarification after #trumps unhinged comments yesterday.    #TrumpResignNow #TuckFrump #TrumpIsATraitor #ThursdayThoughts    FACT CHECK: Foreign Interference And 'Opposition Research' Are Not The Same ,0,0,32,218,0,0.0,0
#TraitorTrump just flat out admitted he’s a #RussianAsset    #TrumpIsATraitor,1,0,14,77,0,0.0,1
"In supporting #Boris Johnson, desperate MPs know they are backing an idle, lying charlatan, writes Conservative commentator Simon Heffer.    #BorisJohnson #BorisJohnsonShouldNotBePM #StopBrexit  ",1,0,30,195,0,0.0,0
How big of a #douchebag must one be to do this to a #Lamborghini?     #lambo #ATLTraffic ,1,0,21,89,0,0.0,0
"@realDonaldTrump Well yeah, and then you enlisted Russia to help you and just did so again. #JohnMcCainDay #TrumpIsATraitor #TrumpRussiaConspiracy #impeachtrumpnow",1,0,27,163,0,0.0,0
"He said it again, No Collusion, No obstruction. What innocent person would do that? He's guilty as sin. I'm sick over nobody doing anything about having a TRAITOR in our White House  #fucktrump ",1,1,41,194,0,0.0,1
@JesseFFerguson @ryan1self Don’t forget they haven’t done a White House press briefing in about a year and just fired @PressSec Sarah BS Sanders. #TrumpIsATraitor,0,0,33,162,0,0.0,0
With the real @BorisJohnson running scared &amp; not engaging with the media (unless of course he’s being paid £k’s for it!) or the wider public we will have to make do with @rorybremner #borisdoesnotrepresentme #BorisJohnsonLies #BorisJohnsonShouldNotBePM ,0,0,50,257,0,0.0,0
Doctors are not punch bags 😠😠😠 #BengalDoctorsStrike #DoctorsProtest #DoctorsFightBack #DoctorsStrike #doctors_against_assualt,0,0,16,125,0,0.0,0
Sarah Sanders failed in almost every aspect of her job #Resist #ResistTrump #FuckTrump ,0,0,16,87,0,0.0,0
Happy #JohnMcCainDay !     #FuckTrump   #ImpeachTrumpNow ,0,0,8,57,0,0.0,0
"I still can't believe that #MURDERER #OJ_Simpson got away with it... There is no justice in this world. Hay juice, do the world a favor and crawl into a wood chipper...💩💩💩💩 ",1,0,39,173,0,0.0,0
Violence is not the answer. It doesn't get you what you've lost nor does it give you the satisfaction of justice. Doctors deserve better than this.   #DoctorsFightBack #Srinivasdubba,0,0,35,182,0,0.0,0
@cmackinlay @BorisJohnson @Conservatives @BackBoris “I’m backing him because 65% of my people said to and not because I actually have an opinion or a spine of my own” #dickhead,0,0,39,176,0,0.0,0
#DoctorsFightBack Angry Relatives Of Patients roughing up &amp;  mishandling Doctors is old story. So is protest by Doctors to counter such misbehaviour. But BJP has achieved a first by converting this into Muslims vs Doctors. @Shehla_Rashid @khushsundar @ashamishra @DrPushpaAmarnat,0,0,49,283,0,0.0,0
This! #DitchMitch2020 #FlipSenateBlue2020 #VoteBlueNoMatterWho2020 #VoteBlue2020 #DoYourJobMitch #resist #FuckTrump #ResistTrump #TheResistance #VoteBlueNoMatterWho #VoteBlueToSaveAmerica #Resistance ,0,0,26,200,0,0.0,0
@GlobalCalgary The Mayor @nenshi seemed far less concerned when he was pissing away millions on his Olympic legacy bid #dickhead,1,1,23,128,0,0.0,0
"@paulwaugh @BorisJohnson #borisjohnson shows he is a coward and can't debate in a live format because of all the lies, broken promises he's made like the changing wind.  #IfnotgetagripmanupandgetoutthereandtellusotherwiseitsallBallsandNOTtobetrusted  #BorisJohnsonShouldNotBePM",1,0,39,277,0,0.0,1
#ShameOnICC  Britain better pray that #INDvPAK doesn't get rained out.     There will be riots otherwise.,0,0,20,105,0,0.0,0
#IMAJewels   #Imafraud   Why is Ima Jewels Scam isn't a national news No big media house is covering this news on big level   The people of #Bengaluru have been cheated in this Fraud   We hate selected media coverage  @Republic_Bharat @abpnewstv @ZeeNewsHindi @Mimansa_Zee @dibang,0,0,51,280,0,0.0,0
#DoctorsFightBack disagree fr special protection to doctors.@MamataOfficial should given dem confidence dat all r safe in WB.all citizens r protected by law dats it.Assualt on doctor should b investigated &amp; leniency frm doctor perspective should als b investigated in Kolkata case,0,0,47,284,0,0.0,0
@realDonaldTrump Your still at 40% for the national average. Once again you're confusing Obama's rating of 50% as your own.  #FUCKTRUMP   #FUCKTRUMPSUPPORTERS   #FUCKREPUBLICANS,0,0,33,177,0,0.0,0
"The talent pool for cricket administration in @ICC is very limited. Umpiring gaffes, bails which don't come off, holding World Cup in the rainy months of May-June etc. But shameless @ICC is unperturbed! Class action suit for mismanagement is reqd. #ShameOnICC; #WashoutWorldCup",0,0,54,277,0,0.0,0
@realDonaldTrump @USArmy #ArmyBDay and #JohnMcCainDay   Soon we await #ImpeachmentDay #FuckTrump,0,0,16,96,0,0.0,0
Episode 10: Fuck off Tommy! Molly-Mae has every right to be fuming!! You’re literally going round to all the boys saying your head has turned but yet you was like to Lucie and Molly-Mae no girl who walks in the Villa will turn my head! 🙄 pathetic #LoveIsIand #dickhead,1,1,58,268,0,0.0,1
"@fawadchaudhry Is Namaz also banned? Why was some teams are allowed to do religious act where on others are stopped on their patriotism,is @ICC biased?  @bcci should stop @ICC, if required we will stop @cricketworldcup  #DhoniKeepTheGlove   #DhoniKeepsTheGlove   #DhoniKeSaathDesh   #IndiaWithDhoni",0,0,53,298,0,0.0,0
"Unprecedented support for #DoctorsProtest #DoctorsFightBack #DoctorsStrike, finally #WestBengal after a long time has shown again #whatbengaldoestodayindiafollowstomorrow",0,0,22,170,0,0.0,0
@realDonaldTrump Literally just called the majority of our population losers.    #SenileAF #StableGenius #racist #rapist #pervert #treason #Resist #UnstablePresident #25thAmendmentNow,1,0,30,183,0,0.0,0
@GavinNewsom Who voted for you!!  All about Trump as always. #douchebag,0,0,16,71,0,0.0,0
I am with you @msdhoni  And I hope entire country with you this time #DhoniKeSaathDesh #DhoniKeepsTheGlove ,0,0,19,107,0,0.0,0
"@ImranKhanPTI what about @KElectricPk ?  these increased the per unit cost, but u and ur government didn't respond, .  jab zardari faryal ki #KE Ka kuch nhi bigar paye tum log, to Zardari, Faryal ka kuch nhi bigar sakte i can bet,,,  #ImranKhan #imranhataomulkbachao   #imrankhanprimeminister",0,0,59,292,0,0.0,0
@SenSchumer @realDonaldTrump @senatemajldr @SenateGOP Just like he flip flopped on Russia interference in our election. To I don't see why it would be #Russia to I don't see why it wouldn't be #Russia #TrumpRussia #PutinPuppet #TraitorTrump #TreasonousTrump   #TrumpIsATraitor   ,0,1,53,279,0,0.0,0
This is what your country will soon look like if you EVER let #China in-in any way‼️Finance/joint ventures/land ownership/infrastructure or 5G‼️Yes they own HK but we got complacent while Britain had it’s 99 year lease-this is no longer the #HongKong we knew!💔💔💔#BoycottChina🇨🇳 ,0,0,50,278,0,0.0,0
"All doctors are on Strike ...   Thats only for a common family ...   I want to ask on Stike doctors ..   If a rich man, leaders even #MamtaBanarji will be sick in this situation ...  will they stay on strike ......  No and never ....      #DoctorStrike #DoctorsFightBack #DoctorsProtest ",0,0,53,287,0,0.0,0
Bengal healthcare in coma as over 700 doctors quit     READ:      #DoctorsFightBack #DoctorsStrike ,0,0,15,99,0,0.0,0
"We, Doctors , stand with our fellow Residents all over India !   #doctors_against_assualt   #DoctorStrike   #DoctorsFightBack   @HospitalArtemis     Long Live Doctors Unity !!! ",0,0,28,177,0,0.0,0
"I'm not a med student . But I support our future doctors,  I support their professors and I support their parents.  We should be one man one voice.  But not only med students are in danger,  all Moroccan students are in danger.   #DoctorsUnderOppression   #DoctorsFightBack",0,0,52,273,0,0.0,0
Luke at it again. Hero. ♡♡♡#fucktrump ,0,0,10,38,0,0.0,0
#ShameOnICC for organising such an important tournament at such a time when half of the matches are getting washed away...... ,0,0,22,126,0,0.0,1
"Breaking News. After all the controversies, Dhoni decides how to tackle the issue for Sunday's #IndvAus Clash. 😀    Decides to Parajump into the ground with the badges !!!   #DhoniKeepsTheGlove   #DhoniKeSaathDesh ",0,0,39,214,0,0.0,0
Our voices shall be heard ! This cause needs more media coverage because public health and education do matter and being oppressed in this brutal way is NOT okay ! #medicalstudent #DoctorsUnderOppression #DoctorsFightBack #DoctorsProtest ,0,0,38,238,0,0.0,0
"Yes.... If you can't be there for us in our time of need, then don't expect free over the phone advice .... #SaveTheDoctors #EnoughIsEnough #DoctorsProtest #DoctorsFightBack #DoctorsUnderOppression #doctors_against_assualt ",0,0,38,223,0,0.0,0
Eton College. School Report. 1982.  #BorisJohnsonShouldNotBePM,0,0,10,62,0,0.0,0
"Here's the truth about Boris Johnson and his history of sexism, racism, lies, homophobia, gaffes and scandals (all material fully sourced)  #Boris #BorisJohnson #BorisForPM #Boris4PM #BorisJohnsonShouldNotBePM   ",1,0,38,212,0,0.0,1
