ind,text,hatebert_prob,roberta_prob,hatebert_pred,roberta_pred,token_len,char_len,hb_lex_occurr,hb_lex_ngrams_prop,label,id
408,@USER @USER @USER I refuse to acknowledge the scampi nik nak. Nice and spicy obscures it through sheer brilliantness.,0.17384852735447087,0.1850618880446084,0,0,24,117,0,0.0,0,30877
409,@USER Would you know who she is?? 😊,0.07654562858358044,0.014172366191301682,0,0,11,35,0,0.0,0,51469
410,@USER So this is how Antifa finally dies? By commiting suicide? Nice.,0.6516320249775609,0.33423622453328783,1,0,16,69,0,0.0,1,46310
413,@USER Beto or whomever move and support immigrantsilegals into your home,0.17716932403255636,0.16586315717538894,0,0,12,72,0,0.0,1,70158
420,@USER @USER We don't watch any NFL games. This guy can shove it in his pie hole.,0.8219034153422713,0.7804115688732182,1,1,22,80,0,0.0,1,22890
429,@USER @USER @USER @USER He is running the team the way preller tells him to,0.05592617368530503,0.01605998160741731,0,0,19,75,0,0.0,0,34041
432,"@USER As a liberal, I've long been insulted when leftists call themselves liberals.""""",0.5442072331663083,0.3702111618397022,1,0,19,85,0,0.0,0,88205
442,@USER HAVE YOU NOTICED HOW RACIST THE MEDIA IS THEY ONLY SHOW THE BLACK PLAYERS KNEELING AND NO ONE EVERY COMPLAINS ABOUT THAT ?,0.35242462248153644,0.7680379962688904,0,1,25,128,0,0.0,0,35616
450,@USER bITCHC IM UWUING,0.29057807960153764,0.8218319303815607,0,1,5,22,0,0.0,1,32580
456,@USER Anyone is a target for the Leftist Liberals. GOAL? Decent God-fearing conservatives will pass on Gov service! RESULT? The country is harmed! Congrats to Liberals - your ANTIFA anti-America blossoms!,0.2853470624762366,0.3097018229244719,0,0,38,204,0,0.0,1,49656
459,@USER Can we send this piece of 💩 to the tower? Wouldn’t it be nice if we could do as Great Britain once did. I say build the wall and tower at the same time just in time for the Hillary Clinton NONpresidential suite! Hahahahaha,0.170438950867929,0.1111446937414868,0,0,51,228,0,0.0,1,90703
460,@USER I swear. I’m so glad my fat ass never drunk that shit. I’m tryna be slim but not crackhead slim🙇🏾‍♀️,0.9536649655685954,0.9078038011721643,1,1,28,106,0,0.0,1,65027
466,But does he schmooze with Communist #Putin in Helsinki like your daddy?   . @USER @USER @USER #MAGA @USER @USER @USER @USER URL,0.10800065320372512,0.04854108575585024,0,0,32,127,0,0.0,1,69284
468,@USER @USER @USER Isis apparently obama let them run the world. Getting nuked by korea? BLM destroying cities. Antifa?,0.5955366621290369,0.40615516157681986,1,0,26,118,0,0.0,1,26869
469,@USER It’s either they lookin for shit for somebody else or they creeps 😂,0.951142221377825,0.9084555967245085,1,1,17,73,0,0.0,1,48976
472,@USER conservatives believe all persons of color are a priori guilty of crimes therefore when PoC are denied their rights in extrajudicial killings no conservative EVER questions the killing.,0.49932861368476217,0.336630842549457,0,0,31,191,0,0.0,1,52026
475,@USER Twitter is becoming tumblr 2013 and I am fucking terrified,0.6720089100588965,0.8855820072946347,1,1,12,64,0,0.0,1,77332
477,@USER @USER She should be prosecuted to the fullest extent of the law.  The tragic waste of such a beautiful person!  Her incompetency and hasty judgement has ruined his family and friends lives.  I know she is devastated but that is little comfort to his loved ones.😔🙏🏼,0.661089205284119,0.5816335853050084,1,1,52,270,0,0.0,1,45622
480,@USER @USER That’s where your wrong. Only ruins conservatives. If it was a dem he would be considered for head of dnc,0.17645862759281344,0.3985746841457594,0,0,28,117,0,0.0,0,42953
481,@USER You are dead to me!,0.4457085897387332,0.432827381669062,0,0,8,25,0,0.0,1,59424
484,@USER @USER @USER @USER @USER @USER @USER @USER Antifa are here telling people to go back to sleep. Horrifying,0.15591202175323768,0.0741642879344629,0,0,28,110,0,0.0,0,40326
485,@USER So babies aren't future men? I suppose ripping their limbs off and sucking their dead bodies out and putting them in the trash. That's sorta thing?,0.7108039850744001,0.7677333916195814,1,1,33,153,1,0.0,1,75046
487,@USER @USER GFY since you are into code letters 😂and how about POS 😜🖕🏻✍️KMA,0.12770700895458376,0.029451481292103187,0,0,16,75,0,0.0,0,80067
490,Antifa Caught Off Guard After Getting Confronted By The Last Person They Ever Wanted To Answer Too URL,0.3668448781007812,0.12262824270646297,0,0,18,102,0,0.0,0,45871
491,@USER He is too cute.,0.13735880254970584,0.032497504970255386,0,0,7,21,0,0.0,0,62487
500,@USER @USER Doomsday for NFL,0.17902764243202363,0.20673385161511595,0,0,7,28,0,0.0,0,21745
502,@USER CA has always been blue and so have I. You don't seem to be doing very much except helping yourself. Like my neighbors you are a champagne socialist.,0.09899012733305497,0.5394684966874882,0,1,34,155,0,0.0,1,12587
508,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed and she is truly breathtaking and amazing woman to follow,0.037361994601113994,0.020100235576752095,0,0,37,144,0,0.0,0,56766
511,@USER They crossed the line a long time ago. Antifa is a branch of the Socialist party.,0.16559311363082369,0.07224300224950239,0,0,20,87,0,0.0,0,27536
522,@USER She is a trained psychologist of course she can pass a lie detector test.,0.2920145077530071,0.11833414435630166,0,0,17,79,0,0.0,0,26341
527,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are way too generous,0.049543017879700064,0.029451481292103187,0,0,95,294,0,0.0,0,79628
546,@USER whens the next meeting?,0.06766981098181624,0.01805533497349936,0,0,7,29,0,0.0,0,88855
547,@USER Oh this is gonna get some Antifa idiots shot so fast...  😂😂 they don't even realize gun owners are usually really aware of what's going on around them.,0.895978640164329,0.8627568706969873,1,1,35,157,1,0.0,1,53003
549,@USER @USER Awewww u falling for back up after blocking people 😂😂😂😂 end of days my man their all going down this is day one give me a month and we will strip the fascist antifa and mugs like you of all secrecy,0.9370957582019431,0.6285784211810486,1,1,45,209,0,0.0,0,54968
550,... ammunition is in many states easier to buy than cold medicine...'   California Tries New Tack on Gun Violence: Bullet Control URL,0.3605171862499886,0.22329236631571986,0,0,25,133,0,0.0,0,66813
556,This #MEME got me 😂🇺🇸😎 Driving Mrs. Feinstein #Chinese #chinesespy #California #WeThePeople #DrainTheSwamp #Justice #ClintonEmails #MAGA #WWG1WGA @USER #CaliforniaWildfires #RedPill #FactsMatter #FactsOnly #MakeCaliforniaGreatAgain #kag #DNC #LiberalLogic #Truth #MSM #facts URL,0.24427285532589002,0.10932483007763892,0,0,52,278,0,0.0,0,90595
564,@USER I am appalled that you are considering hosting a `midget’ wrestling spectacle. The word itself is offensive but an occasion like that will  perpetuate the stereotypes around dwarfism and is hugely damaging to the dwarf community. Please think again.,0.5085440900876863,0.30228808933844803,1,0,46,255,0,0.0,0,44903
565,@USER @USER #MAGA Make Alcatraz Great Again,0.24766885560191226,0.040049796765639606,0,0,10,43,0,0.0,0,77312
572,@USER @USER I'm convinced that there's a hell of a lot more liberals of the type that a conservative could have a real conversation with and vice versa than either would admit.   The whack job commies scare the shit out of everybody. It's about time we started talking.,0.8849372454875799,0.8695485062391984,1,1,56,269,0,0.0,1,73626
576,@USER And the issue is much greater than gun control,0.3072021142602116,0.12315455597992365,0,0,11,52,0,0.0,0,47495
584,"@USER @USER Do you have evidence that Trump didn't collude with Russia?   DUuUueerrrrhhh, he said so...MAGA!"" URL",0.17353317072701172,0.0872522465547244,0,0,26,113,0,0.0,1,29977
587,@USER Hey Jimmy @USER The View had Norm on.   THE VIEW!!!!!  You're sad.,0.48907644545272616,0.0926056855630711,0,0,23,72,0,0.0,0,73914
602,@USER wow you are so beautiful ayumi,0.06973155118880962,0.015603534790203509,0,0,8,36,0,0.0,0,53127
605,@USER Grover is antifa and keeps changing his appearance to hide from the government.   URL,0.17724051706725025,0.11935680703029165,0,0,17,91,0,0.0,0,34132
606,@USER The whole of the media in this country sets out to discredit Tommy and you decide to write a criticism about him as well. Pathetic. We know he has his faults no-one is perfect but save your attacks for the likes of Corbyn and Antifa. If you don't like Tommy stay away from him!,0.4250383302872339,0.3468177772646052,0,0,61,283,0,0.0,0,72409
611,@USER @USER @USER This is what I get from Twitter liberals. URL,0.17888415544116182,0.05937365812024588,0,0,16,63,0,0.0,0,32751
613,@USER Are you joining ANTIFA?,0.1532954933993558,0.015983005165543726,0,0,7,29,0,0.0,0,68664
621,@USER I prefer not to speak URL,0.14984212295573412,0.026784727778505265,0,0,8,31,0,0.0,0,22043
627,"@USER @USER @USER @USER And while yes, hate groups"" is ill defined, we KNOW of hate groups on the right, and there is antifa, but they are not anywhere near the level of the modern conservative ""hate groups"" but then again, its subjective, so I guess neither of us can actually make a valid statement""",0.3982162811621838,0.33633105292626736,0,0,69,301,0,0.0,0,44744
631,@USER @USER So... what did The Big O accomplish on gun control in his 8 year disaster??,0.10932483007763892,0.7037022018181477,0,1,22,87,0,0.0,0,83465
649,#illegalaliens don't get #Constitutional rights URL #tcot #AmericaFirst #SanctuaryCities #Conservatives #law #Lawyers #thewall #Trumpwall #Wall,0.32546694729658915,0.5202373512576407,0,1,27,143,0,0.0,0,15236
652,@USER so many things i’ve created but this right here might be my favorite 😭😭💔💔,0.16851459168778293,0.02271575632447913,0,0,18,79,0,0.0,0,55977
653,#MichaelChe THIS GUY thunks only White Repubs &amp; crackheads Thank Jesus Guess you don’t like Christian’s money do you buddy?! Good luck Mike trying to have a lavish style off the backs of liberals 😂😂 URL @USER 👎🏼,0.518081406262841,0.7827040048768453,1,1,48,215,0,0.0,0,58583
656,@USER Liberals GAG,0.2757143859988509,0.016833909193700945,0,0,4,18,0,0.0,1,66862
664,@USER @USER @USER One of the best #MAGA men on Twatter.  Good heart to heart. Hey Jack... URL,0.09318171046137044,0.02691230407380185,0,0,25,93,0,0.0,0,38774
668,@USER is the only one worth slapping your cock on #cocktribute and cumming all over #cumtribute   she is my CumSlave after all 😎,0.698046501658333,0.8546421704730388,1,1,26,128,0,0.0,1,53929
674,#WomenShouldRuleTheWorld that is all. URL via @USER,0.16606592128155198,0.032620547547598966,0,0,10,51,0,0.0,0,27248
683,@USER It really is unbelievable that he feels it’s ok to call citizens worse than deplorable. He’s nuts. No wonder ppl are running to Reps. He obviously thinks he is way better than us. Time to go away Mr. Biden!,0.8838389091905732,0.7641884136055329,1,1,50,212,0,0.0,1,68505
684,@USER No he can’t because losss of service time during suspensions he is subject to waivers,0.11546110031516475,0.11551097776263475,0,0,19,91,0,0.0,0,22830
691,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!,0.6872365592918525,0.03210070671700818,1,0,19,49,0,0.0,0,77086
701,@USER Not really. Gun control limits one capability to personally safety. It makes it even harder for good people to buy guns legally. It will even make it hard for women to obtain guns for self defense. Just keep a simple background check system we already have.,0.3887340457359919,0.1947503935792118,0,0,53,263,0,0.0,1,25533
707,@USER @USER You are betting on it...you just don't have a choice....,0.158564846730083,0.0568615486449464,0,0,18,68,0,0.0,0,27151
713,@USER Ulster unionists care nothing for conservatives whom reciprocate in kind. A Terrible partnership where true leadership and negotiation was needed. Irish border if hardened will result in lives being lost ... once more.,0.15817435274843172,0.2955347985892188,0,0,38,224,0,0.0,0,18952
717,@USER Tell me did restoring your computer to an earlier date correct your problem you were having ?,0.16701477911902912,0.05424881141485575,0,0,19,99,0,0.0,0,58581
722,@USER @USER @USER @USER @USER Most modern conservatives aren't very bright. A lot of our founding fathers were slave-owners who wanted to end slavery in the US. Their principles were far more nuanced and granular than modern conservative principles: shallow principles cannot withstand the test of time.,0.20426252356166566,0.5800064043167975,0,1,58,303,0,0.0,0,88168
724,@USER Must be driving liberals crazy!,0.874881177997378,0.8183016013879783,1,1,8,37,0,0.0,1,22102
726,AntiPo is better than Antifa.,0.20995522746684658,0.1440284164176104,0,0,6,29,0,0.0,0,72381
738,@USER @USER @USER @USER His promises should be taken with a pinch of salt. @USER often lies and spreads misinformation. If elected I doubt you would see ANY promise honored. He is not an honorable Guy.,0.5269513909521348,0.37534863776345434,1,0,45,201,0,0.0,0,82004
740,@USER He drew the saw because the marker was in his left hand which is connected to his right brain which is connected to his left eye which saw the saw. His right eye which is connected to his left brain saw the hammer. #PSYC1101,0.267767024436977,0.1728689022873316,0,0,49,230,0,0.0,1,13794
