,ind,text,hatebert_prob,roberta_prob,hatebert_pred,roberta_pred,token_len,char_len,label,id
19,85,#british politics on #brexit (and in general) start to look like one gigantic benny hill episode  #may #BorisJohnson #brexiteers #corbyn #chequers #conservatives  all my sympathies to #fbpe #PeoplesVote,0.2166323598994669,0.3867344944500545,0,0,40,202,0,27937
20,86,@USER She does not remember? Of course she doesn’t! She is making it up as she goes and with the “ help” of her therapist and all the others that believes her BS story. Maybe if she gets hypnotized she will miraculously remember “ more details” #Freakingliars liberals obstructionist🤬,0.17144233670622105,0.3867344944500545,0,0,58,284,0,36876
21,91,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,0.24558222867064528,0.3867344944500545,0,0,37,175,0,63236
22,105,@USER @USER @USER Lol #liberalfool just MAGA,0.10315987385482044,0.3867344944500545,0,0,11,44,0,55298
23,108,@USER Awww kaise bache ki tarah  she is holding his finger😭😍🤗,0.18672451596847367,0.3867344944500545,0,0,12,61,0,15262
24,111,@USER @USER @USER I don‘t know why they can see she is lying they should leave him alone . They need to write an article now when they wanted to write 1 10 months ago . Just so you know @USER you make no money with Melissa .,0.18550413362367746,0.3867344944500545,0,0,54,224,0,75420
25,112,@USER @USER This has already been rejected as you well know. This is another time wasting exercise @USER,0.1424703466791212,0.3867344944500545,0,0,22,104,0,94562
26,117,@USER Let’s not forget the treatment of Sarah Palin by these same California liberals. And now they say Kavanaugh ‘s accuser is being bullied?,0.4569852542792344,0.3867344944500545,0,0,30,142,0,74666
27,131,@USER Amazing how Dems don’t feel they owe it to unborn generations to keep ILLEGALS out!!,0.09401017961657226,0.3867344944500545,0,0,21,90,1,36435
28,136,@USER @USER @USER Sensible gun control can only help. Mentally unstable people should not have guns. People with restraining orders should not have guns. No one needs a gun with a magazine more than 5-6 rounds (unless the zombie apocalypse happens).,0.35375603461753474,0.3867344944500545,0,0,50,249,1,48299
29,140,5 of 5 stars to You Are a Badass by Jen Sincero URL,0.15316878241935267,0.3867344944500545,0,0,13,51,0,43158
30,145,@USER @USER She is the bomb!!,0.06638737583306009,0.3867344944500545,0,0,10,29,0,44787
31,146,@USER But he is still fucked up for not respecting LGBTQ,0.8854334959262264,0.3867344944500545,1,0,12,56,1,96773
32,150,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Of course.  Thanks for making my point.  ANTIFA has no clue what fascism is.,0.37833526758305513,0.3867344944500545,0,0,115,370,0,49225
33,152,@USER And dying a slow death such a shame,0.8576489207970808,0.3867344944500545,1,0,10,41,1,26430
34,162,@USER Gotta give him credit where its due he may not be a mason but he is out there competing his ass off,0.8680457400870637,0.3867344944500545,1,0,25,105,1,36039
35,173,@USER Bono ..get out of town,0.7421414933616136,0.3867344944500545,1,0,8,28,0,70810
36,196,@USER Kamala Harris speaks to those she disagrees with in a condescending fashion that I find gutter like! I want to snatch her bald headed routinely! She is so full of herself and is very unbecoming! 😠😡🤬😤,0.8633340086713945,0.3867344944500545,1,0,41,205,0,27295
37,208,@USER She is full of it. She will go for it.,0.13279545682738436,0.3867344944500545,0,0,14,44,0,92000
38,209,@USER @USER Why wasn't we given the chance to change our minds for 43years also if we have another vote and you win can we change our minds again or will all changing of minds be banned when you get your way,0.41310715206529225,0.3867344944500545,0,0,45,207,0,28515
39,215,@USER As we now know there were scandals.  They were covered up very well.  That's coming to end.  Slowly but surely.,0.12147716208963942,0.3867344944500545,0,0,27,117,0,67089
40,216,@USER @USER Melting snow flakes,0.47379417685848463,0.3867344944500545,0,0,7,31,0,14948
41,217,@USER BOYCOTT THE ANTI AMERICAN NFL. Football ain't all that anyway.,0.32463672457169374,0.3867344944500545,0,0,15,68,0,50586
42,225,@USER Thanks she is sweet. Very very timid skiddish scared of every sound so this hurricane isn't helping her adjust BUT today she started being playful😊,0.10842473688340978,0.3867344944500545,0,0,29,153,0,41848
43,234,@USER Boycott the NFL,0.2813315594666899,0.3867344944500545,0,0,5,21,0,70556
44,238,@USER @USER @USER @USER @USER @USER &gt;comparing Antifa weaklings to WWII soldiers,0.32920299640425854,0.3867344944500545,0,0,21,83,1,49736
45,256,@USER @USER Both of them.....,0.18119075382067545,0.3867344944500545,0,0,8,29,0,44915
46,258,@USER @USER My bias park JIMIN  he is perfect man 😍😍😍 #JIMIN #BTS #MAIN DANCER AND READ VOCAL💕 HEART YOU🤣💟👍 URL,0.07671838130104888,0.3867344944500545,0,0,26,111,0,28993
47,263,@USER @USER @USER I was just going through my TL and I saw this. There are no words she is such a sweetheart this is so horribly sad. May her family find the strength.,0.14426937338303258,0.3867344944500545,0,0,40,167,0,43686
48,265,@USER @USER Yes mothers now this is what the deranged left will make you do to your little boys! Are we really going to let this happen? Pure EVIL! #VoteDemsOut #MAGA #2020 #ConfirmJudgeKavanaugh @USER URL,0.7253082676531099,0.3867344944500545,1,0,45,205,1,92379
49,267,@USER It's SOP for conservatives defend every Republican fully no matter the seriousness of the charge or evidence.  Demand every Democrat resign no matter what.,0.1312845595662053,0.3867344944500545,0,0,29,161,0,47156
50,268,@USER Hatred of the man makes people like this fool say things like this. Not reality.,0.9108630617274583,0.3867344944500545,1,0,19,86,1,48081
51,275,@USER #MAGA 👍  Let that set in ...... URL,0.24644265672022694,0.3867344944500545,0,0,11,41,0,11966
52,276,@USER @USER @USER Trump proposes racial profiling as a tactic 'to start thinking about' URL,0.24789637804016815,0.3867344944500545,0,0,19,91,0,22128
53,280,"@USER He lets her ramble on for a bit, smiling and admitting to himself that this is why he likes having Kate around. She is definitely a younger version of himself. Pretty sure they done did the do.""""",0.07992552347565957,0.3867344944500545,0,0,45,201,0,25397
54,282,@USER @USER @USER Am I a professional?  No so your statement is irrelevant.  It’s not like hardy has done basically identical falls a million times or anything.  You clearly know nothing about this.  50 bucks says he is perfectly fine.  Orton wouldn’t have said what he said if he was hurt.,0.1816258102416088,0.3867344944500545,0,0,64,290,0,75037
55,283,@USER @USER She is your sister????,0.14743239045468015,0.3867344944500545,0,0,12,34,0,71789
56,284,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Job description: In Charge of the Big Door.    Because that's the most likely point of entry for the ANTIFA hackers and their DOXX equipment (which is quite cumbersome).,0.37728252076550534,0.3867055433214176,0,0,118,421,0,84385
57,286,@USER I forgot he is their foster child!,0.14169659595383413,0.3867344944500545,0,0,10,40,0,11160
58,295,@USER Introducing my sweet sweet baby king! He is always sooo nice! And when I try to sit on the sofa he NEVER attacks me! URL,0.1045687273852163,0.3867344944500545,0,0,30,126,0,36518
59,300,@USER @USER Feinstein wanted to delay until after the midterms.  Hopefully the RED wave will wash her into the Atlantic. #MAGA,0.07473627087605825,0.3867344944500545,0,0,26,126,1,42410
60,305,@USER Not surprising. That I*n C*nnor nigga was on the payroll,0.9333701039597481,0.3867344944500545,1,0,17,62,1,14758
61,311,@USER He needs euthanasia,0.7370162268436744,0.3867055433214176,1,0,5,25,0,65836
62,313,@USER @USER @USER simply cannot accept failure. Former President Harry Truman he is not. Trump will always look to blame others.,0.2674559963060882,0.3867344944500545,0,0,28,128,0,87510
63,322,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,0.5301965902546114,0.3867344944500545,1,0,36,152,0,20943
64,327,@USER Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟,0.34485701383895095,0.3867344944500545,0,0,29,138,0,90912
65,344,@USER @USER @USER Please can I have some of whatever it is you’ve been smoking?  Thats some top quality shit you’re coming out with.,0.9155827561298345,0.3867344944500545,1,0,33,132,1,63536
66,348,@USER @USER There is help for your mental illness.  Good grief you liberals are seriously disturbed.,0.7628660036418652,0.3867344944500545,1,0,20,100,1,61195
67,350,@USER We conservatives love him no matter how stupid it makes us /him look! YEE HAW! URL,0.9145581846854951,0.3867344944500545,1,0,20,88,1,54674
68,357,@USER Oh fuck yeah,0.9345745264593462,0.3867344944500545,1,0,5,18,1,61218
69,358,@USER now we know tesco's stance on gun control,0.21601153469447487,0.3867344944500545,0,0,11,47,0,48639
70,360,@USER @USER Happy Birthday Tyler! May God favor you with a day as AMAZING as you are! Be blessed today &amp; always!! 🎉🎉,0.07217757650806453,0.3867344944500545,0,0,31,120,0,12171
71,364,@USER @USER When we allow foreign law into our sovereign nation we have lost our sovereignty. Say no to #ShariaLaw #ConstitutionDay #MAGA #MondayMorning @USER @USER @USER @USER @USER @USER @USER @USER,0.3156304934274244,0.3867344944500545,0,0,46,200,0,13601
72,376,@USER Keep doing your thing. I’m just sitting back enjoying URL,0.11071129249376653,0.3867344944500545,0,0,15,63,0,53293
73,382,@USER The NRA is now intimidated by a British cartoon. They should stay out of European animation ethics unless they want all of Europe weighing in on gun control.,0.24976734217074564,0.3867344944500545,0,0,32,163,0,86468
74,383,@USER #Trump gifted the 1% with #GOPTaxScam the biggest wealth grab in modern history URL yet #trump supporter #dopes prefer to vote against their best interests so perhaps you cannot fix stupid!  #MAGA🇺🇸,0.8957508787902209,0.3867344944500545,1,0,42,204,1,52432
75,394,@USER Amazing that the Dems are always the ones who hear the whistle.,0.20098861129630408,0.3867344944500545,0,0,15,69,1,27207
76,399,@USER He Mike @USER what country are you living in my country is a Constitutional REPUBLIC not a democracy,0.29057807960153764,0.3867344944500545,0,0,21,106,0,79969
77,407,@USER She is doing a crap job of running this country and that idiot can’t supply the country with an alternative opposition as long as he is running the Labour Party,0.9176723061839842,0.3867344944500545,1,0,34,166,1,35819
78,410,@USER So this is how Antifa finally dies? By commiting suicide? Nice.,0.5369939644059676,0.3867344944500545,1,0,16,69,1,46310
79,417,@USER @USER @USER I will never forget what levels you racist liberals went to and what you did to Clarence Thomas. Liberals are  the worst people ever.,0.9119668847111934,0.3867344944500545,1,0,32,151,1,52082
80,419,@USER He was almost shot and that makes him an expert.,0.14187484182540586,0.3867344944500545,0,0,13,54,0,40991
81,421,"@USER Never Trumper uses brain for first time, wakes up to the fight #MAGA community has been waging for two years.""""",0.12776141236308594,0.3867344944500545,0,0,27,117,0,58516
82,422,@USER @USER Tomorrow night you get dropped @USER @USER will make sure he is not robbed again  you fraud,0.8262916869759688,0.3867344944500545,1,0,23,103,1,65537
83,424,"@USER @USER Look at Sweden, France, UK, Europe is changing. EUROPE WILL BE A MUSLIM CONTINENT BY 2050. Please watch the YouTube video title  MUSLIM DEMOGRAPHICS "" , YOU WILL BE SCARED TO DEATH, unless you are a Muslim or love Islam. Mind u, I'm an African in America.""",0.13017480529538433,0.3867344944500545,0,0,62,268,1,50482
84,427,You can draw a straight line btwn ppl who think:  @USER is truthful MSM lies #Kavanaugh is treated unfairly #CodyWilson was set up Zimmerman was right A wall is good Refugees are terrorists #BlackLivesMatter is racist Reverse racism is real Kap is disrespectful #MAGA,0.8180110222179113,0.3867344944500545,1,0,50,267,1,69245
85,428,@USER @USER is mentally disturbed,0.848156507504991,0.3867344944500545,1,0,7,33,1,28562
86,431,@USER Hey Biden.  There is a reason why hard working Americans will NEVER TOLERATE YOU OR YOUR CAREER POLITICIANS AGAIN!  #MAGA THANK YOU TRUMP,0.1077187412877147,0.3867344944500545,0,0,28,143,0,58104
87,432,"@USER As a liberal, I've long been insulted when leftists call themselves liberals.""""",0.4056694519239098,0.3867344944500545,0,0,19,85,0,88205
88,435,@USER @USER As if Politically Correct Speech and gun control laws are not attacks on the Constitution! Your hypocrisy is showing.,0.8901033181214943,0.3867344944500545,1,0,25,129,1,12851
89,436,@USER Anarchist Nefarious Treason Invading Free America = ANTIFA.,0.34897786290854943,0.3867344944500545,0,0,11,65,1,53564
90,441,@USER @USER This pope is a dope!,0.9311501302256912,0.3867344944500545,1,0,10,32,1,83918
91,442,@USER HAVE YOU NOTICED HOW RACIST THE MEDIA IS THEY ONLY SHOW THE BLACK PLAYERS KNEELING AND NO ONE EVERY COMPLAINS ABOUT THAT ?,0.3160261491369981,0.3867344944500545,0,0,25,128,0,35616
92,447,@USER This (confirmation) is a done deal.  He said she said and she’s a leftist Antifa nobody.,0.7952608743550256,0.3867344944500545,1,0,24,94,1,74820
93,451,@USER @USER We had a Peoples Vote on 23 June 2016. The people rejected the craven @USER worship which you stand for - by a majority of over 1m. You’re contemptuously defying the will of the people &amp; @USER 2017 GE manifesto &amp; supporting Soros in undermining democracy instead,0.19513354679502123,0.3867344944500545,0,0,61,282,0,87206
94,452,@USER So is it time for each of us to tell about wild times we had in high school and college???  Liberals are such jackasses.  Let he who is perfect cast the first stone....will never be a liberal,0.9236612037234145,0.3867344944500545,1,0,45,197,0,79385
95,461,Are all the republiKlan maga wearing traitors going to dig through their childhood toy chest just to post videos of burning #Ernie &amp; #Bert dolls? #ernieandbert #SesameStreet #Toad #MarioKart #TraitorTrump #traitortoad,0.8550662665933054,0.3867344944500545,1,0,42,221,1,26379
96,468,@USER @USER @USER Isis apparently obama let them run the world. Getting nuked by korea? BLM destroying cities. Antifa?,0.5272138328209781,0.3867344944500545,1,0,26,118,1,26869
97,471,@USER Desperate! @USER will do whatever it takes to stay relevant even if it means jumping on the hate train! #HasBeen,0.330714324109368,0.3867344944500545,0,0,26,118,0,82350
98,473,@USER @USER Only if the self-serving @USER don't stand and reject Mrs May's de facto #remain surrender.  Now begone with that insurgent hashtag.,0.13500383651270287,0.3867344944500545,0,0,31,144,0,26033
99,479,@USER @USER 100%. The death threats thing is disgusting. The party of “family values” says ANTIFA are so dangerous or any resistance group. Has Kavanaugh and family had death threats? Inquiring minds want to know.,0.8244619263765707,0.3867344944500545,1,0,45,213,1,95224
100,481,@USER You are dead to me!,0.32239263388192935,0.3867344944500545,0,0,8,25,1,59424
101,488,@USER @USER They are really upset about this election loss.,0.11338310085525113,0.3867344944500545,0,0,13,59,0,41965
102,503,@USER @USER Isn’t this from the Saul Alinsky book #RulesforRadicals or @USER favorite book Antifa Handbook,0.09907726211512571,0.3867344944500545,0,0,22,106,0,35824
103,505,@USER She is demented.,0.9243469469227503,0.3867344944500545,1,0,6,22,1,15286
104,523,@USER How much you want to bet they spent these months staging this whole thing.  Then announce the week of the voting so they could call for a delay just like they did an hour ago.  Waiting to win in Nov to Stop it  #GET OUT TO VOTE #conservatives #MAGA,0.10645813243560162,0.3867344944500545,0,0,56,254,0,33975
105,525,@USER @USER how the fuck is puting raven with derrick and dan and dr. will saying she's a mastermind when she didn't do shit put bitch about being sick and being annoying and boring. take raven out and put tyler in. he is playing a great game even the  great player who won said he's good,0.9264369496610249,0.3867344944500545,1,0,63,288,1,97923
106,527,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are way too generous,0.08046578755455748,0.3867344944500545,0,0,95,294,0,79628
107,528,@USER You're interested in making me glance at your tweets because I think you are Nintendo for a split second.,0.13167486673204998,0.3867344944500545,0,0,23,111,0,13856
108,542,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Great girl and I’m sure there are more of them. In the Democratic Party. She is a real prize,0.07599521481895796,0.3867344944500545,0,0,51,176,0,93348
109,544,@USER He is so wonderful! I love my grandkids!,0.050658379234751,0.3867344944500545,0,0,12,46,0,98989
110,547,@USER Oh this is gonna get some Antifa idiots shot so fast...  😂😂 they don't even realize gun owners are usually really aware of what's going on around them.,0.7761142849029525,0.3867344944500545,1,0,35,157,1,53003
111,548,@USER You are carrying Dave. Get out while you can.,0.07409726117812651,0.3867344944500545,0,0,13,51,0,91864
112,550,... ammunition is in many states easier to buy than cold medicine...'   California Tries New Tack on Gun Violence: Bullet Control URL,0.20454044115753736,0.3867344944500545,0,0,25,133,0,66813
113,560,@USER This sums up what's happening across the pond. It is what the #MSM hides in America.  #MeToo  #MAGA  #KAG2018,0.22742643850100502,0.3867344944500545,0,0,28,115,0,52881
114,566,@USER @USER #Privilege Lane🤔 #MAGA Blvd🤔 Good Ole Days Avenue🤔,0.3007969236446847,0.3867344944500545,0,0,14,62,1,42205
115,567,@USER @USER @USER @USER @USER Leave that to your Antifa cronies amirite?,0.9292480302611954,0.3867344944500545,1,0,18,72,0,16669
116,569,@USER Beto is a joke,0.5748125047212231,0.3867344944500545,1,0,6,20,1,58206
117,571,"@USER @USER Great book by Leo Zagami, Pope Francis, the Last Pope?"" details the breathtaking corruption and evil forces that have been controlling the Vatican for decades.""",0.43190613663566196,0.3867344944500545,0,0,35,172,1,63287
118,572,@USER @USER I'm convinced that there's a hell of a lot more liberals of the type that a conservative could have a real conversation with and vice versa than either would admit.   The whack job commies scare the shit out of everybody. It's about time we started talking.,0.9074353364870976,0.3867344944500545,1,0,56,269,1,73626
119,577,@USER At least you are getting more people to like it on Discord,0.07429850879485247,0.3867344944500545,0,0,14,64,0,12011
120,586,@USER Natalie (the youngest) gets her dreams of being a football coach ruined when she is constantly compared to her older brother Chris who has made that his career. She invents Mr Doubtfire as Chris’ long lost brother from Scotland &amp; wins the job &amp; in life. The end.,0.28929639717011624,0.3867344944500545,0,0,60,276,0,82543
121,616,@USER Don’t even know the subject  but I’ll side with Sarandon only because she has class (even if I disagree with her) against the classless rambling fool.  😁,0.9061145102677544,0.3867344944500545,1,0,36,159,1,21521
122,618,@USER @USER I know how you feel Stormy Daniels because I used to be a dancer and a go-go girl I have had 10 years under my belt and I know people like that pay under the table or be a hush money so you are not lying about what you doing people make excuses and they don't own up what they do,0.24630666488650585,0.3867344944500545,0,0,66,291,0,15235
123,634,@USER because what every lie you are telling if it happened when you were children the guy is a man and I clearly don't believe shit like that happened. Its just another stall tactic by the liberals.,0.9017477678631269,0.3867344944500545,1,0,41,199,1,80374
124,635,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I havent checked it so i cant say anything.,0.1324023345195628,0.3867055433214176,0,0,46,151,1,47552
125,647,@USER OMG!  What a disaster that would be!! She is the most incompetent person,0.9256679010985179,0.3867344944500545,1,0,18,78,1,47720
126,654,@USER End of Mos2. SM out in space hears a voice in his head asking if he’s kryptonian.Turns around and it’s MM. MM explains his situation &amp; asks for refuge on earth. SM puts out his hand &amp; introduces himself. Has their shaking hand he says welcome to earth. Cut to black.,0.15297887682637173,0.3867344944500545,0,0,67,280,1,62822
127,655,@USER Hope they continue to crash @USER,0.13285169778105557,0.3867344944500545,0,0,9,39,1,36425
128,657,@USER Did he found out by himself?,0.18813745558942108,0.3867344944500545,0,0,9,34,0,52788
129,659,@USER @USER Sick!!! I hope he is not teaching!,0.08937509061932179,0.3867344944500545,0,0,15,46,1,32666
130,668,@USER is the only one worth slapping your cock on #cocktribute and cumming all over #cumtribute   she is my CumSlave after all 😎,0.8356177224241854,0.3867344944500545,1,0,26,128,1,53929
131,677,@USER @USER he is so breathtakingly handsome man,0.055005288293454156,0.3867344944500545,0,0,10,48,0,97184
132,680,@USER you are not the true Columbia Bugle. Gfy,0.23165767801613782,0.3867344944500545,0,0,11,46,0,13415
133,682,@USER @USER @USER I know you're not this naive. Those people make up a very small % of Trump supporters. Do all Liberals support terrorist and (groups such as Antifa?,0.22055222523848653,0.3867344944500545,0,0,38,166,1,50593
134,683,@USER It really is unbelievable that he feels it’s ok to call citizens worse than deplorable. He’s nuts. No wonder ppl are running to Reps. He obviously thinks he is way better than us. Time to go away Mr. Biden!,0.8683251332679501,0.3867344944500545,1,0,50,212,1,68505
135,684,@USER No he can’t because losss of service time during suspensions he is subject to waivers,0.0976052223611354,0.3867344944500545,0,0,19,91,0,22830
136,686,@USER thats why they lobbied the government to ban reaserch funded bye the cdc that could be used to argue for gun control. guns in the home dont make you safer. quite the opposite.,0.28222091706275865,0.3867344944500545,0,0,38,181,1,81124
137,696,@USER This is all political theater. Are liberals really that stupid to believe that the FBI investigates state crimes? Especially incidents that happened 36 years ago by a juvenile? This is nothing more than a tactic to delay Kavanaugh’s confirmation.,0.7954198334065398,0.3867344944500545,1,0,47,252,0,13611
138,705,@USER @USER Endless Dreg here...😀😀😀😀@USER 🇺🇸🇺🇸🇺🇸#MAGA    &gt;&gt;&gt;&gt;&gt; @USER &lt;&lt;&lt;&lt;&lt;&lt; Pervert supreme of society,0.17175468335105526,0.3867344944500545,0,0,53,135,1,74575
139,708,"@USER @USER @USER @USER I don't know how They said they aren't gay tho."" and ""And by liberals you mean conservatives."" sounds like me being upset.  As for why it matters, if it doesn't matter then why go to such lengths to deny that they're gay? There's straight couples, why not just let them be gay?""",0.535083244994217,0.3867344944500545,1,0,76,302,1,99915
140,712,@USER @USER @USER You are a sick person,0.8988109370415239,0.3867344944500545,1,0,11,39,1,11007
141,714,@USER @USER This B**ch Behar needs to shut that big ugly hole on her face and think about the fact she's not giving Kavanaugh or his family the benefit of their rights as citizens. In her fat head they're guilty bc they're Conservatives. Behar needs a muzzle around decent people. HRC clone.,0.9391923492641306,0.3867344944500545,1,0,64,291,1,19091
142,716,@USER @USER Yes. That’s how the liberals do.,0.13262685493552193,0.3867344944500545,0,0,14,44,0,61102
143,718,@USER Shocking.  Consider most of the country wants smart gun control. Not the Wild Wild West like you espouse.,0.3358680008823724,0.3867344944500545,0,0,23,111,1,41368
144,721,@USER Looks like he is in the middle of shitting his pants. Must have ate one booger too many.,0.8173558983028024,0.3867344944500545,1,0,22,94,1,62240
145,728,@USER @USER @USER @USER What are you doing Jeff?  Do you think following in McCain's footsteps is a good idea?  You will be known as a TRAITOR too. Walk away from the DemonRats RESISTANCE PARTY Liberals evilness.  Confirm Kavanaugh.,0.7264741247118625,0.3867344944500545,1,0,49,232,1,10161
146,729,@USER Google got big by being the best search engine.  This is one reason why it is no longer a trustworthy search engine. @USER,0.13279545682738436,0.3867344944500545,0,0,28,128,0,87000
147,730,"@USER All I'm hearing is We don't care that people in this country are being unjustly treated, I'm going to make up an excuse as to why kneeling is offensive so I continue to ignore the problems  we face as a Nation.""""",0.5010375961668034,0.3867344944500545,1,0,50,218,0,73705
148,732,@USER @USER Nothing was stolen. Crybaby liberals didn’t get what they wanted so they’ve been throwing temper tantrums for 2 years.,0.29936116274683244,0.3867344944500545,0,0,29,130,1,60062
149,735,@USER @USER @USER @USER Riots everywhere 😡😡😡😡👊👊👊👊,0.1694745972886896,0.3867344944500545,0,0,11,49,0,48284
150,737,@USER @USER @USER @USER @USER @USER Amazing seeing how she is a prof and an activist,0.09355370787629966,0.3867344944500545,0,0,22,84,0,40331
151,742,#PresidentTrump Wins Law Suit - #CA Court Overturns #GunControl Law...  #GOA #NRA #GunRights #SelfDefense #A2 #firearms #MolonLabe #guns #KAG #SecondAmendment #CCOT #PJNet #GunFreeZones #MAGA #USConstitution  URL via @USER,0.25520441971894114,0.3867344944500545,0,0,48,222,0,10203
152,743,@USER Did he complain about gun control afterward?,0.20458016659346026,0.3867344944500545,0,0,10,50,0,38087
153,746,@USER SHE DIDN’T SPEAK PARIS OMG I CAN’T BREATHE,0.3225793308280615,0.3867344944500545,0,0,14,48,0,87507
154,749,@USER @USER @USER @USER @USER Thanks DBC! Love reading your books! I’ve heard that #51 is pretty epic too - looking forward to *finally* getting to read it soon!!!,0.0729002734246221,0.3867344944500545,0,0,44,163,0,61968
155,761,@USER @USER @USER @USER @USER @USER Liberals are so sensitive that they’ll believe the okay sign is racist 🤣😂🤣 URL,0.5802702902201274,0.3867344944500545,1,0,28,114,1,89474
156,777,@USER His jewels have their own gravitational field!🛸,0.3578479824624977,0.3867344944500545,0,0,11,53,0,35321
157,785,@USER @USER Twitter and social media seems to make errors only on conservatives and never liberals. Why is that?,0.1384617905689644,0.3867344944500545,0,0,23,112,0,38141
158,786,@USER Right.!!!! I don't know what the hell he is saying half the time. I would get thrown off the show the first episode.!!!!😟😕,0.8741846824498326,0.3867344944500545,1,0,36,128,0,12198
159,798,@USER #Deplorables are resolved to #MAGA URL,0.09355370787629966,0.3867344944500545,0,0,10,44,0,33013
160,802,@USER And yet the liberals keep piling in people from countries like this with ideals like this and preach upon to us women's rights and respect for all. Doesn't make sense to me it's double talk,0.3918421963606933,0.3867344944500545,0,0,41,195,0,77963
161,806,@USER He is so very stupid. Or is it he is just so concrete??,0.9263703677122469,0.3867344944500545,1,0,18,61,1,11618
